study,station.x,operatn,year,X,Y,Tax_Div,Tax_Even,Tax_Rich,logab,logabI,Strahler,Catchment6_size,Ships,Ports,Locks,Channelization,Rip_Deg,Urban_new,Agriculture_new,fric_new,feve_new,fdiv_new,ports_5k,locks_5k
BelgianH,BelgianH_123000,BelgianH_123000_2004_21187043,2004,5.68,50.888,3.841221187,0.174600963,22,5.872117789,4.094344562,6,1.599819171,0.123270556,1.501397643,-0.170008962,0.004097659,-0.085210415,1.046912687,0.305211389,0.101122392,0.648398,0.738467463,1.207217158,0.937610503
BelgianH,BelgianH_123000,BelgianH_123000_2005_21215362,2005,5.68,50.888,5.463057217,0.237524227,23,6.839476438,4.356708827,6,1.599819171,0.123270556,1.501397643,-0.170008962,0.004097659,-0.085210415,1.046912687,0.305211389,0.167644074,0.313815,0.750088234,1.207217158,0.937610503
BelgianH,BelgianH_123000,BelgianH_123000_2005_21219184,2005,5.68,50.888,5.046690459,0.315418154,16,6.800170068,4.804021045,6,1.599819171,0.123270556,1.501397643,-0.170008962,0.004097659,-0.085210415,1.046912687,0.305211389,0.170153618,0.465419,0.680787496,1.207217158,0.937610503
BelgianH,BelgianH_123000,BelgianH_123000_2005_21265490,2005,5.68,50.888,5.490295749,0.21961183,25,7.177018766,4.836281907,6,1.599819171,0.123270556,1.501397643,-0.170008962,0.004097659,-0.085210415,1.046912687,0.305211389,0.240143308,0.439194,0.551473713,1.207217158,0.937610503
BelgianH,BelgianH_123000,BelgianH_123000_2007_21341880,2007,5.68,50.888,8.183670366,0.430719493,19,6.142037406,4.672828834,6,1.599819171,0.123270556,1.501397643,-0.170008962,0.004097659,-0.085210415,1.046912687,0.305211389,0.233756152,0.614355,0.745165459,1.207217158,0.937610503
BelgianH,BelgianH_123000,BelgianH_123000_2010_21498399,2010,5.68,50.888,9.162670552,0.26949031,34,6.672032945,4.510859507,6,1.599819171,0.123270556,1.501397643,-0.170008962,0.004097659,-0.085210415,1.046912687,0.305211389,0.481374781,0.508102,0.435423296,1.207217158,0.937610503
BelgianH,BelgianH_171000,BelgianH_171000_1993_251227,1993,3.742,51.028,1,1,1,1.098612289,0,5,0.179047861,2.515952098,1.501397643,-0.170008962,0.771068777,-0.593586621,2.567317967,0.447820905,NA,NA,NA,-0.541494254,1.705981004
BelgianH,BelgianH_171000,BelgianH_171000_1994_251228,1994,3.742,51.028,3,1,3,1.945910149,1.098612289,5,0.179047861,2.515952098,1.501397643,-0.170008962,0.771068777,-0.593586621,2.567317967,0.447820905,NA,NA,NA,-0.541494254,1.705981004
BelgianH,BelgianH_171000,BelgianH_171000_1995_251229,1995,3.742,51.028,1.362388223,0.136238822,10,7.068172,6.909753282,5,0.179047861,2.515952098,1.501397643,-0.170008962,0.771068777,-0.593586621,2.567317967,0.447820905,0.00955609,0.508631,0.838958887,-0.541494254,1.705981004
BelgianH,BelgianH_171000,BelgianH_171000_1998_996054,1998,3.742,51.028,4,1,4,2.197224577,0,5,0.179047861,2.515952098,1.501397643,-0.170008962,0.771068777,-0.593586621,2.567317967,0.447820905,NA,NA,NA,-0.541494254,1.705981004
BelgianH,BelgianH_171000,BelgianH_171000_2002_21093007,2002,3.742,51.028,1.271940412,0.127194041,10,7.032624261,6.910750788,5,0.179047861,2.515952098,1.501397643,-0.170008962,0.771068777,-0.593586621,2.567317967,0.447820905,0.037248881,0.421259,0.761130395,-0.541494254,1.705981004
BelgianH,BelgianH_171000,BelgianH_171000_2003_21113380,2003,3.742,51.028,1.904779898,0.272111414,7,4.96284463,2.48490665,5,0.179047861,2.515952098,1.501397643,-0.170008962,0.771068777,-0.593586621,2.567317967,0.447820905,0.004007443,0.723701,0.699043836,-0.541494254,1.705981004
BelgianH,BelgianH_171000,BelgianH_171000_2005_21234206,2005,3.742,51.028,3.090514052,0.23773185,13,6.551080335,5.746203191,5,0.179047861,2.515952098,1.501397643,-0.170008962,0.771068777,-0.593586621,2.567317967,0.447820905,0.037878678,0.491182,0.484705726,-0.541494254,1.705981004
BelgianH,BelgianH_171000,BelgianH_171000_2007_21311506,2007,3.742,51.028,1.750520538,0.291753423,6,4.919980926,0,5,0.179047861,2.515952098,1.501397643,-0.170008962,0.771068777,-0.593586621,2.567317967,0.447820905,0.00416746,0.89507,0.978795641,-0.541494254,1.705981004
BelgianH,BelgianH_171000,BelgianH_171000_2007_21341601,2007,3.742,51.028,4.729693406,0.315312894,15,6.021023349,4.564348191,5,0.179047861,2.515952098,1.501397643,-0.170008962,0.771068777,-0.593586621,2.567317967,0.447820905,0.044361958,0.658247,0.731000731,-0.541494254,1.705981004
BelgianH,BelgianH_171000,BelgianH_171000_2010_21468229,2010,3.742,51.028,3.256281407,0.651256281,5,3.610917913,2.079441542,5,0.179047861,2.515952098,1.501397643,-0.170008962,0.771068777,-0.593586621,2.567317967,0.447820905,NA,NA,NA,-0.541494254,1.705981004
BelgianH,BelgianH_171000,BelgianH_171000_2010_21485023,2010,3.742,51.028,4.722817238,0.337344088,14,6.483107351,5.638354669,5,0.179047861,2.515952098,1.501397643,-0.170008962,0.771068777,-0.593586621,2.567317967,0.447820905,0.129446097,0.472259,0.326019952,-0.541494254,1.705981004
BelgianH,BelgianH_171000,BelgianH_171000_2013_21616626,2013,3.742,51.028,3.845536182,0.295810476,13,6.539585956,5.755742214,5,0.179047861,2.515952098,1.501397643,-0.170008962,0.771068777,-0.593586621,2.567317967,0.447820905,0.072097026,0.420161,0.500246809,-0.541494254,1.705981004
BelgianH,BelgianH_171000,BelgianH_171000_2014_21639821,2014,3.742,51.028,3.654259719,0.406028858,9,4.553876892,1.791759469,5,0.179047861,2.515952098,1.501397643,-0.170008962,0.771068777,-0.593586621,2.567317967,0.447820905,0.068262577,0.643369,0.628265286,-0.541494254,1.705981004
BelgianH,BelgianH_171000,BelgianH_171000_2016_21734336,2016,3.742,51.028,4.420528064,0.260031063,17,6.169610732,3.891820298,5,0.179047861,2.515952098,1.501397643,-0.170008962,0.771068777,-0.593586621,2.567317967,0.447820905,0.20671384,0.523827,0.371415567,-0.541494254,1.705981004
BelgianH,BelgianH_171000,BelgianH_171000_2018_21802464,2018,3.742,51.028,2.311481481,0.33021164,7,5.068904202,0.693147181,5,0.179047861,2.515952098,1.501397643,-0.170008962,0.771068777,-0.593586621,2.567317967,0.447820905,NA,NA,NA,-0.541494254,1.705981004
BelgianH,BelgianH_171000,BelgianH_171000_2019_21870382,2019,3.742,51.028,1.456139497,0.104009964,14,6.998509642,4.007333185,5,0.179047861,2.515952098,1.501397643,-0.170008962,0.771068777,-0.593586621,2.567317967,0.447820905,0.11531661,0.551901,0.545464224,-0.541494254,1.705981004
BelgianH,BelgianH_172000,BelgianH_172000_1993_251233,1993,3.737,51.012,1,1,1,4.624972813,0,5,0.179047861,-0.16013393,0.435734609,0.258917989,-0.50856226,-0.702618871,2.093264369,0.674580876,NA,NA,NA,-0.541494254,0.937610503
BelgianH,BelgianH_172000,BelgianH_172000_1994_251234,1994,3.737,51.012,1.293145595,0.143682844,9,4.753590191,4.624972813,5,0.179047861,-0.16013393,0.435734609,0.258917989,-0.50856226,-0.702618871,2.093264369,0.674580876,0.013881013,0.611737,0.860154937,-0.541494254,0.937610503
BelgianH,BelgianH_172000,BelgianH_172000_1995_251235,1995,3.737,51.012,1.593059254,0.227579893,7,7.153833802,6.909753282,5,0.179047861,-0.16013393,0.435734609,0.258917989,-0.50856226,-0.702618871,2.093264369,0.674580876,0.008757936,0.348192,0.795397204,-0.541494254,0.937610503
BelgianH,BelgianH_172000,BelgianH_172000_2000_21027395,2000,3.737,51.012,2.77269664,0.34658708,8,5.484796933,4.624972813,5,0.179047861,-0.16013393,0.435734609,0.258917989,-0.50856226,-0.702618871,2.093264369,0.674580876,0.02872859,0.052264,0.561726213,-0.541494254,0.937610503
BelgianH,BelgianH_172000,BelgianH_172000_2001_21067938,2001,3.737,51.012,2.31910107,0.289887634,8,7.678326357,6.909753282,5,0.179047861,-0.16013393,0.435734609,0.258917989,-0.50856226,-0.702618871,2.093264369,0.674580876,0.018208084,0.286952,0.824241961,-0.541494254,0.937610503
BelgianH,BelgianH_172000,BelgianH_172000_2002_21093006,2002,3.737,51.012,2.768536086,0.346067011,8,5.257495372,4.624972813,5,0.179047861,-0.16013393,0.435734609,0.258917989,-0.50856226,-0.702618871,2.093264369,0.674580876,0.018348951,0.632214,0.799269919,-0.541494254,0.937610503
BelgianH,BelgianH_172000,BelgianH_172000_2003_21113381,2003,3.737,51.012,1.139285017,0.379761672,3,4.691347882,0,5,0.179047861,-0.16013393,0.435734609,0.258917989,-0.50856226,-0.702618871,2.093264369,0.674580876,NA,NA,NA,-0.541494254,0.937610503
BelgianH,BelgianH_172000,BelgianH_172000_2003_21124241,2003,3.737,51.012,5.434669636,0.543466964,10,5.493061443,3.951243719,5,0.179047861,-0.16013393,0.435734609,0.258917989,-0.50856226,-0.702618871,2.093264369,0.674580876,0.037494697,0.501355,0.474816042,-0.541494254,0.937610503
BelgianH,BelgianH_172000,BelgianH_172000_2004_21170634,2004,3.737,51.012,3.407688869,0.425961109,8,5.446737372,3.951243719,5,0.179047861,-0.16013393,0.435734609,0.258917989,-0.50856226,-0.702618871,2.093264369,0.674580876,0.056924222,0.030406,0.709095627,-0.541494254,0.937610503
BelgianH,BelgianH_172000,BelgianH_172000_2005_21234203,2005,3.737,51.012,4.214462069,0.280964138,15,5.869296913,3.737669618,5,0.179047861,-0.16013393,0.435734609,0.258917989,-0.50856226,-0.702618871,2.093264369,0.674580876,0.146298967,0.505509,0.67441381,-0.541494254,0.937610503
BelgianH,BelgianH_172000,BelgianH_172000_2007_21311504,2007,3.737,51.012,1.37398374,0.45799458,3,2.63905733,0,5,0.179047861,-0.16013393,0.435734609,0.258917989,-0.50856226,-0.702618871,2.093264369,0.674580876,NA,NA,NA,-0.541494254,0.937610503
BelgianH,BelgianH_172100,BelgianH_172100_1993_21423526,1993,3.722,51.001,2,1,2,1.609437912,0,5,0.179047861,-0.16013393,0.435734609,0.258917989,-0.50856226,-0.377557874,1.259132042,1.331046398,NA,NA,NA,-0.541494254,0.937610503
