station.x,SUB_AREA,UP_AREA,layer
Wolter_Danube_SK58,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK58,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK58,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK59,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK59,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK59,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK59,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK59,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK60,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK60,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK60,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK60,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK60,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK61,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK61,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK61,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK61,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK61,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK62,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK62,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK62,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK62,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK62,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK63,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK63,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK63,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK63,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK63,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_HU64,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_HU64,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_HU64,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_HU64,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_HU64,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_HU65,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_HU65,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_HU65,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_HU65,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_HU65,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_HU66,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_HU66,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_HU66,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_HU66,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_HU66,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_HU67,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_HU67,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_HU67,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_HU67,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_HU67,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_HU68,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_HU68,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_HU68,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_HU68,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_HU68,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_HU69,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_HU69,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_HU69,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_HU69,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_HU69,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_HU70,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_HU70,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_HU70,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_HU70,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_HU70,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_HU71,716.1,131624.9,hybas_eu_lev05_v1c
